"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC"
"C1,C3,C4,C5,C6","5","10u","","","","Capacitor_SMD:C_0805_2012Metric","","C440198"
"C2","1","100n","","","","Capacitor_SMD:C_0805_2012Metric","","C38141"
"D1","1","SMF28A","","","","Diode_SMD:D_SMF","https://www.vishay.com/doc?85881","C2943742"
"D2,D3","2","BZT52C16","","","","Diode_SMD:D_SOD-123","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzt52b2v4.pdf","C216724"
"D4","1","Green","","","","LED_SMD:LED_0805_2012Metric","","C965815"
"F1","1","Fuse","","","","Fuse:Fuseholder_Littelfuse_Nano2_154x","https://www.littelfuse.com/products/fuse-blocks-fuseholders-and-fuse-accessories/fuse-blocks/154/154005_dr.aspx","C206916"
"J1","1","COMBO_POWER_JACK","","","","index:BarrelJack_Horizontal","~","C5155559 "
"J2","1","Conn_01x04_Pin","","","","Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","~","C2845444"
"L1","1","2.2u","","","","Inductor_SMD:L_Sunlord_MWSA0402S","~","C408335"
"R1,R4,R5","3","10k","","","","Resistor_SMD:R_0805_2012Metric","~","C115295"
"R2,R3","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~","C17673"
"TP1,TP2,TP3","3","TestPoint","","","","TestPoint:TestPoint_Pad_D2.0mm","~",""
"U1,U2","2","FDS4435BZ","","","","Package_SO:SO-8_3.9x4.9mm_P1.27mm","","C23931"
